src,timestep,keyword,verb,freq
ptt,t1,臺灣,支持,26
ptt,t1,臺灣,來,17
ptt,t1,臺灣,有,16
ptt,t1,臺灣,們,12
ptt,t1,臺灣,為,10
ptt,t1,中國,有,9
ptt,t1,臺灣,邀請,8
ptt,t1,中國,與,7
ptt,t1,美國,去,6
ptt,t1,中國,沒,5
ptt,t1,臺灣,回到,5
ptt,t1,臺灣,臺灣,5
ptt,t1,臺灣,放棄,5
ptt,t1,臺灣,攻打,5
ptt,t1,臺灣,吃,4
ptt,t1,臺灣,看到,4
ptt,t1,中國,從,4
ptt,t1,臺灣,沒,4
ptt,t1,中國,個,4
ptt,t1,臺灣,叫,4
ptt,t1,臺灣,喜歡,4
ptt,t1,中國,數字,4
ptt,t1,臺灣,打,4
ptt,t1,中國,到,4
ptt,t1,臺灣,阻礙,3
ptt,t1,中國,顯示,3
ptt,t1,中國,承認,3
ptt,t1,中國,前往,3
ptt,t1,中國,輸給,3
ptt,t1,臺灣,熟悉,3
ptt,t1,臺灣,代表,3
ptt,t1,中國,限制,3
ptt,t1,臺灣,搞,3
ptt,t1,中國,看,3
ptt,t1,臺灣,統,3
ptt,t1,中國,幫,3
ptt,t1,臺灣,保衛,3
ptt,t1,中國,源自,3
ptt,t1,中國,連,3
ptt,t1,臺灣,解決,3
ptt,t1,臺灣,個,3
ptt,t1,中國,加上,3
ptt,t1,中國,武漢,3
ptt,t1,中國,配合,3
ptt,t1,臺灣,到,3
ptt,t1,臺灣,住在,3
ptt,t1,中國,要,3
ptt,t1,美國,對,3
ptt,t1,臺灣,赴,3
ptt,t1,臺灣,允許,3
ptt,t1,臺灣,搬到,3
ptt,t1,臺灣,包括,3
ptt,t1,臺灣,們與,3
ptt,t1,臺灣,出來,2
ptt,t1,臺灣,干預,2
ptt,t1,中國,封鎖,2
ptt,t1,臺灣,國,2
ptt,t1,中國,聽,2
ptt,t1,臺灣,對,2
ptt,t1,中國,開,2
ptt,t1,臺灣,關,2
ptt,t1,中國,代表,2
ptt,t1,中國,考慮,2
ptt,t1,中國,遭到,2
ptt,t1,臺灣,接收,2
ptt,t1,臺灣,變成,2
ptt,t1,中國,為,2
ptt,t1,臺灣,要求,2
ptt,t1,臺灣,了解,2
ptt,t1,中國,翻到,2
ptt,t1,臺灣,開始,2
ptt,t1,中國,作,2
ptt,t1,臺灣,看看,2
ptt,t1,臺灣,上,2
ptt,t1,臺灣,要,2
ptt,t1,臺灣,超越,2
ptt,t1,中國,批評,2
ptt,t1,美國,幫助,2
ptt,t1,臺灣,考慮,2
ptt,t1,中國,指責,2
ptt,t1,中國,回來,2
ptt,t1,臺灣,收復,2
ptt,t1,臺灣,知道,2
ptt,t1,臺灣,算是,2
ptt,t1,臺灣,落實,2
ptt,t1,美國,回,2
ptt,t1,臺灣,想,2
ptt,t1,中國,找,2
ptt,t1,中國,包括,2
ptt,t1,中國,回歸,2
ptt,t1,美國,連,2
ptt,t1,臺灣,武統,2
ptt,t1,中國,給,2
ptt,t1,臺灣,發聲,2
ptt,t1,中國,對於,2
ptt,t1,中國,仰賴,2
ptt,t1,臺灣,逃到,2
ptt,t1,中國,入境,2
ptt,t1,臺灣,滿,2
ptt,t1,中國,關,2
ptt,t1,美國,叛逃,2
ptt,t1,中國,新聞,2
ptt,t1,美國,搬到,2
ptt,t1,臺灣,發展,2
ptt,t1,臺灣,存在,2
ptt,t1,臺灣,黨,2
ptt,t1,臺灣,只有,2
ptt,t1,臺灣,經,2
ptt,t1,臺灣,走到,2
ptt,t1,臺灣,無,2
ptt,t1,中國,解決,2
ptt,t1,中國,國與,2
ptt,t1,中國,黨,1
ptt,t1,美國,有,1
ptt,t1,中國,變成,1
ptt,t1,中國,要求,1
ptt,t1,臺灣,為現,1
ptt,t1,中國,任,1
ptt,t1,臺灣,別人,1
ptt,t1,臺灣,円,1
ptt,t1,臺灣,と言,1
ptt,t1,美國,棒球,1
ptt,t1,臺灣,嗎,1
ptt,t1,中國,握有,1
ptt,t1,中國,來幫,1
ptt,t1,臺灣,稱,1
ptt,t1,中國,引發,1
ptt,t1,中國,學,1
ptt,t1,美國,來對,1
ptt,t1,中國,想,1
ptt,t1,臺灣,行,1
ptt,t1,美國,統,1
ptt,t1,臺灣,們亞,1
ptt,t1,臺灣,自從,1
ptt,t1,臺灣,好比,1
ptt,t1,中國,稱為,1
ptt,t1,臺灣,迎來,1
ptt,t1,中國,加深,1
ptt,t1,美國,動手,1
ptt,t1,中國,夠穩,1
ptt,t1,美國,侵台,1
ptt,t1,中國,登個,1
ptt,t1,臺灣,崩潰,1
ptt,t1,中國,忠於,1
ptt,t1,中國,機構,1
ptt,t1,中國,加劇,1
ptt,t1,臺灣,拆,1
ptt,t1,臺灣,撤退,1
ptt,t1,臺灣,缺乏,1
ptt,t1,中國,醫院,1
ptt,t1,中國,觸怒,1
ptt,t1,臺灣,打死,1
ptt,t1,中國,教,1
ptt,t1,臺灣,數,1
ptt,t1,中國,守,1
ptt,t1,臺灣,弄,1
ptt,t1,美國,歐洲,1
ptt,t1,中國,灣對,1
ptt,t1,臺灣,建交,1
ptt,t1,中國,等,1
ptt,t1,中國,內力,1
ptt,t1,中國,誰,1
ptt,t1,中國,翻車,1
ptt,t1,中國,看到,1
ptt,t1,臺灣,讓許,1
ptt,t1,臺灣,佔掉,1
ptt,t1,中國,塑造,1
ptt,t1,臺灣,來但,1
ptt,t1,臺灣,設展,1
ptt,t1,中國,使用,1
ptt,t1,中國,獲,1
ptt,t1,美國,流入,1
ptt,t1,臺灣,國垮,1
ptt,t1,中國,援助,1
ptt,t1,中國,幫助,1
ptt,t1,臺灣,移工,1
ptt,t1,臺灣,亞,1
ptt,t1,臺灣,話,1
ptt,t1,臺灣,排擠,1
ptt,t1,臺灣,幹,1
ptt,t1,臺灣,影響,1
ptt,t1,臺灣,嫁來,1
ptt,t1,臺灣,夠轉,1
ptt,t1,臺灣,防衛,1
ptt,t1,中國,反對,1
ptt,t1,中國,對抗,1
ptt,t1,美國,羨慕,1
ptt,t1,中國,挑釁,1
ptt,t1,臺灣,照會,1
ptt,t1,臺灣,重視,1
ptt,t1,臺灣,們吹,1
ptt,t1,美國,了解,1
ptt,t1,臺灣,保護,1
ptt,t1,中國,罵完,1
ptt,t1,中國,罵,1
ptt,t1,臺灣,停陸,1
ptt,t1,臺灣,評價,1
ptt,t1,臺灣,在乎,1
ptt,t1,中國,在乎,1
ptt,t1,中國,業生,1
ptt,t1,中國,刪除,1
ptt,t1,美國,跑去,1
ptt,t1,美國,數,1
ptt,t1,美國,找,1
ptt,t1,臺灣,個覺,1
ptt,t1,臺灣,去,1
ptt,t1,美國,超過,1
ptt,t1,臺灣,慣,1
ptt,t1,中國,贏,1
ptt,t1,臺灣,遠,1
ptt,t1,中國,打,1
ptt,t1,臺灣,調查,1
ptt,t1,臺灣,時候,1
ptt,t1,美國,赴,1
ptt,t1,美國,積電,1
ptt,t1,臺灣,灣,1
ptt,t1,中國,怪,1
ptt,t1,美國,開放,1
ptt,t1,美國,感覺,1
ptt,t1,臺灣,花什,1
ptt,t1,中國,倒,1
ptt,t1,中國,看看,1
ptt,t1,臺灣,吳,1
ptt,t1,美國,國家,1
ptt,t1,臺灣,造成,1
ptt,t1,中國,打擊,1
ptt,t1,中國,減,1
ptt,t1,中國,判下,1
ptt,t1,臺灣,見誰,1
ptt,t1,臺灣,って,1
ptt,t1,臺灣,意貶,1
ptt,t1,中國,引,1
ptt,t1,中國,盯上,1
ptt,t1,中國,協助,1
ptt,t1,臺灣,證明,1
ptt,t1,臺灣,冷氣,1
ptt,t1,臺灣,坐過,1
ptt,t1,臺灣,種,1
ptt,t1,臺灣,視為,1
ptt,t1,美國,使,1
ptt,t1,臺灣,軍用,1
ptt,t1,臺灣,指,1
ptt,t1,中國,只,1
ptt,t1,臺灣,滿桌,1
ptt,t1,臺灣,符合,1
ptt,t1,中國,掌握,1
ptt,t1,中國,業單,1
ptt,t1,臺灣,促成,1
ptt,t1,臺灣,注意,1
ptt,t1,中國,嗆聲,1
ptt,t1,中國,臺灣,1
ptt,t1,臺灣,師範,1
ptt,t1,臺灣,阻止,1
ptt,t1,中國,禁,1
ptt,t1,中國,禁止,1
ptt,t1,中國,做禁,1
ptt,t1,中國,華倫,1
ptt,t1,美國,來,1
ptt,t1,中國,歹戲,1
ptt,t1,中國,提升,1
ptt,t1,中國,數,1
ptt,t1,臺灣,選,1
ptt,t1,臺灣,反送,1
ptt,t1,中國,掌控,1
ptt,t1,臺灣,互換,1
ptt,t1,臺灣,くす,1
ptt,t1,美國,崩盤,1
ptt,t1,美國,嗎,1
ptt,t1,美國,殘局,1
ptt,t1,臺灣,站在,1
ptt,t1,臺灣,朴槿,1
ptt,t1,中國,爭,1
ptt,t1,臺灣,改變,1
ptt,t1,臺灣,受限,1
ptt,t1,中國,重創,1
ptt,t1,中國,在意,1
ptt,t1,中國,運往,1
ptt,t1,中國,步上,1
ptt,t1,臺灣,與,1
ptt,t1,臺灣,闆說,1
ptt,t1,臺灣,欸欸,1
ptt,t1,臺灣,連任,1
ptt,t1,美國,給,1
ptt,t1,中國,遭,1
ptt,t1,臺灣,改稱,1
ptt,t1,中國,〔記者,1
ptt,t1,中國,積極,1
