word,src,timestep,PC1,PC2
難怪,weibo,8,0.07352687,0.063955106
需,weibo,8,-0.25828674,-0.11959129
資金,weibo,8,-0.421496,0.14098021
走,weibo,8,0.24453317,-0.14084189
看起來,weibo,8,0.39483824,0.0076888558
變得,weibo,8,0.16033782,0.119136475
標題,weibo,8,0.052935347,-0.09016959
一行,weibo,8,-0.10401567,-0.25509784
明天,weibo,8,0.27553204,-0.3897589
硬,weibo,8,0.29902387,0.02412323
陪,weibo,8,0.32329813,-0.039657637
漢堡,weibo,8,0.11029808,-0.046890453
吵架,weibo,8,0.4472326,-0.016351419
調查,weibo,8,-0.45123917,-0.025422253
搭,weibo,8,0.26640007,-0.4354552
經營,weibo,8,-0.15664269,0.19209643
本,weibo,8,-0.16275989,-0.21011567
頻頻,weibo,8,-0.42470276,-0.023319973
粉,weibo,8,0.36087978,-0.3477731
完整,weibo,8,-0.22713654,-0.030400384
年初,weibo,8,-0.19281061,0.00979916
條件,weibo,8,-0.20391318,0.13151675
才,weibo,8,0.16644205,-0.05382447
簡直,weibo,8,0.37565732,-0.22845638
一中,weibo,8,-0.21740922,0.12095124
燒,weibo,8,0.38355318,0.06254379
季,weibo,8,-0.030672316,-0.5467033
大膽,weibo,8,0.23746088,0.025349246
紐約,weibo,8,0.19336876,-0.052598134
過於,weibo,8,0.3575765,0.112705916
休息,weibo,8,0.32012174,0.002880715
館,weibo,8,-0.28897154,-0.5901221
截至,weibo,8,-0.42018908,-0.28842527
如今,weibo,8,-0.08835637,-0.019915981
好看,weibo,8,0.43704364,-0.28042793
未能,weibo,8,-0.3658559,0.107194215
例行,weibo,8,-0.48925602,-0.2012648
新疆,weibo,8,-0.19422781,-0.30637076
感動,weibo,8,0.33568338,-0.112550154
實驗,weibo,8,-0.3316424,-0.1946945
回憶,weibo,8,0.35971197,-0.25058302
導致,weibo,8,-0.314476,0.12480772
體驗,weibo,8,0.14143847,-0.1542793
多多,weibo,8,0.31023332,-0.07497707
百年,weibo,8,0.057984952,-0.1277578
道,weibo,8,0.07296675,-0.28730848
婚姻,weibo,8,-0.095295645,0.123985186
自家,weibo,8,0.048014197,-0.07917331
捍衛,weibo,8,-0.3553824,0.03616651
月底,weibo,8,-0.3609294,-0.2591353
制度,weibo,8,-0.46036488,0.06767996
一杯,weibo,8,0.43968806,-0.273967
進行,weibo,8,-0.42813903,-0.1614859
應對,weibo,8,-0.3741502,0.17586264
難以,weibo,8,-0.06310773,0.23701087
黃,weibo,8,0.10188815,-0.6114705
理念,weibo,8,-0.20753855,0.06975613
實在,weibo,8,0.37379575,0.036481347
以及,weibo,8,-0.27503553,-0.089767754
中華人民共和國,weibo,8,-0.4059063,-0.14564393
暫停,weibo,8,-0.39011005,0.044548906
大部分,weibo,8,-0.07240371,0.10217264
放在,weibo,8,0.104816765,0.2470577
即將,weibo,8,-0.2891562,-0.26776317
嘉義,weibo,8,0.10314758,-0.43255273
人物,weibo,8,-0.20441966,0.16263276
救,weibo,8,0.1184859,0.23689732
執政,weibo,8,-0.3323119,0.070753284
實在太,weibo,8,0.39684483,-0.0029488765
非常,weibo,8,0.19903947,-0.14789517
老人,weibo,8,0.32583648,0.01184085
一天,weibo,8,0.26809996,-0.26394007
高鐵,weibo,8,0.17739077,-0.07249279
戰略,weibo,8,-0.39767706,0.009486745
限定,weibo,8,0.0069705565,-0.68654394
線,weibo,8,-0.33832142,-0.13360076
回來,weibo,8,0.40489298,-0.21916687
讀,weibo,8,0.34525275,-0.165012
週年,weibo,8,-0.10067867,-0.5559338
應用,weibo,8,-0.48106876,0.118750416
狗,weibo,8,0.3335032,-0.13487855
心情,weibo,8,0.47160962,-0.09050407
跟,weibo,8,0.1875256,-0.14953484
長期,weibo,8,-0.056207072,0.22406456
從而,weibo,8,-0.24750908,0.047726203
自,weibo,8,-0.23342445,-0.40479037
麻煩,weibo,8,0.17699705,0.20479931
以往,weibo,8,-0.17537941,0.035519708
毛,weibo,8,0.23591524,-0.11731115
接近,weibo,8,-0.0691007,-0.009168428
性,weibo,8,-0.5944165,-0.19145943
遭遇,weibo,8,-0.033175394,0.14282316
一切,weibo,8,0.1577716,0.106528476
成,weibo,8,-0.06642532,-0.09848637
見到,weibo,8,0.4566316,-0.086593464
領土,weibo,8,-0.27407458,0.10682078
名稱,weibo,8,-0.40591592,-0.029697224
海峽,weibo,8,-0.2974738,-0.27239582
從事,weibo,8,-0.47578382,-0.16416344
剩,weibo,8,0.15733379,0.0056833117
終於,weibo,8,0.33527017,-0.2054029
小孩,weibo,8,0.4793696,-0.1272759
段,weibo,8,0.2166314,-0.040640447
對立,weibo,8,0.07104936,0.28381863
從不,weibo,8,0.012748405,0.07651645
召開,weibo,8,-0.41414654,-0.19040552
必要,weibo,8,0.024577387,0.17708658
畢竟,weibo,8,0.36303523,0.086644426
設備,weibo,8,-0.41142985,0.009923498
兩國,weibo,8,-0.43449906,0.221086
論文,weibo,8,0.05667461,-0.24845132
同步,weibo,8,-0.21206455,-0.09886621
東南亞,weibo,8,-0.23025855,-0.109864004
描述,weibo,8,0.25631773,0.0012700624
鳥,weibo,8,0.18487708,0.16037804
基金會,weibo,8,-0.34939757,-0.08368611
一個月,weibo,8,0.14853823,-0.08753187
爬,weibo,8,0.13071014,-0.16185284
泡,weibo,8,0.45511353,-0.33534005
國外,weibo,8,-0.040024586,0.13158303
中心,weibo,8,-0.4086498,-0.33346757
男友,weibo,8,-0.14574483,-0.087630495
打開,weibo,8,0.17241926,-0.19290112
純粹,weibo,8,0.26027736,0.009609283
個人,weibo,8,-0.05708999,-0.18373184
從未,weibo,8,-0.053126182,0.01926201
全都,weibo,8,0.31330976,0.0031612527
集中,weibo,8,-0.4722983,-0.090839945
要求,weibo,8,-0.35233724,0.06741725
宿舍,weibo,8,0.2644944,-0.17379253
查,weibo,8,0.2843968,-0.14011483
殺,weibo,8,0.29752815,-0.17187344
可愛,weibo,8,0.48042032,-0.33877712
我國,weibo,8,-0.42721945,-0.17874217
島嶼,weibo,8,-0.37808573,0.003007092
第一,weibo,8,-0.112554796,-0.19377796
忘記,weibo,8,0.2782348,0.15473284
剛剛,weibo,8,0.14166524,-0.32533085
運輸,weibo,8,-0.32593572,-0.13741145
圖片,weibo,8,-0.02296277,-0.35011595
爆炸,weibo,8,0.38660833,-0.06855532
定義,weibo,8,0.06431592,0.20332769
網站,weibo,8,-0.37427524,-0.2518148
完成,weibo,8,-0.19467062,-0.032967143
專注,weibo,8,-0.4796502,-0.02739766
翻譯,weibo,8,0.16366404,-0.2707968
皆,weibo,8,-0.28878465,-0.10859439
中有,weibo,8,-0.11290094,-0.021474829
顯得,weibo,8,0.25860873,0.21998313
重新,weibo,8,-0.08369509,-0.10542453
領導人,weibo,8,-0.29563192,-0.040782195
南,weibo,8,0.009151866,-0.3845005
哪個,weibo,8,0.21803863,0.0058508646
人民,weibo,8,-0.13809836,-0.0798658
穩定,weibo,8,-0.3167416,0.14182875
真心,weibo,8,0.3975035,0.07202028
經,weibo,8,-0.438628,-0.33622032
真,weibo,8,0.3768458,-0.1775284
可,weibo,8,-0.038124736,-0.16501892
七月,weibo,8,-0.2208278,-0.41689625
藏,weibo,8,0.0819508,-0.1183258
經常,weibo,8,0.21124424,0.007973316
在於,weibo,8,-0.10804692,0.047571618
附近,weibo,8,-0.3468309,-0.34481937
文學,weibo,8,-0.051901057,-0.20265421
依然,weibo,8,0.10705503,0.066112675
騎,weibo,8,0.34810483,-0.15579201
包含,weibo,8,-0.25361267,-0.035952702
十分,weibo,8,0.026586445,-0.1732881
層面,weibo,8,-0.27301356,0.26610678
星期,weibo,8,0.34069777,-0.033258475
人民幣,weibo,8,-0.47784206,-0.29717106
等到,weibo,8,0.14605726,-0.054084785
產,weibo,8,-0.0032325878,-0.21417129
申請,weibo,8,-0.37421966,-0.10558387
生物,weibo,8,-0.47012863,-0.10638516
巴基斯坦,weibo,8,-0.28242332,-0.08528679
出院,weibo,8,-0.12555565,-0.4062601
比賽,weibo,8,-0.10283223,-0.23672037
平均,weibo,8,-0.24082685,-0.06340368
滲透,weibo,8,-0.0089930175,0.1547714
惡,weibo,8,-0.098105386,-0.18019842
諮詢,weibo,8,-0.25138453,-0.2210797
一邊,weibo,8,0.37468,-0.09614984
天下,weibo,8,0.014664391,-0.043736953
功能,weibo,8,-0.19350456,-0.051387
順便,weibo,8,0.3857645,-0.16369162
海域,weibo,8,-0.5953742,-0.22672577
清楚,weibo,8,0.16465217,0.1745744
面對,weibo,8,-0.062194783,0.21717504
追蹤,weibo,8,-0.11917978,-0.20915022
砸,weibo,8,0.2631751,-0.1207037
聲稱,weibo,8,-0.14868495,-0.0018057523
官網,weibo,8,-0.40286386,-0.41698745
第一個,weibo,8,0.12498424,-0.114285715
於,weibo,8,-0.3923943,-0.31510034
消失,weibo,8,-0.16782683,-0.06547397
畫面,weibo,8,0.28020045,-0.13781293
落後,weibo,8,0.08292494,0.24979302
日,weibo,8,-0.33866566,-0.41525894
推廣,weibo,8,-0.113824196,-0.09567869
到,weibo,8,0.032504547,-0.3388777
衝擊,weibo,8,-0.4512883,0.07765567
投,weibo,8,0.35997406,-0.137962
動物,weibo,8,0.12946685,-0.16281845
而已,weibo,8,0.005818616,-0.071241766
天王,weibo,8,0.0136097595,0.057937253
人類,weibo,8,-0.15764113,0.22505541
採取,weibo,8,-0.28978434,0.26587683
軍,weibo,8,-0.39197442,-0.025703305
假,weibo,8,0.14306891,0.055906802
和,weibo,8,-0.14241044,-0.20267084
藍色,weibo,8,-0.19662037,-0.29055443
霸氣,weibo,8,0.0037367512,0.13291028
購物,weibo,8,0.12793791,-0.08590296
想不到,weibo,8,0.41028655,0.052940253
各項,weibo,8,-0.03574667,0.20273064
顏色,weibo,8,0.025872007,0.011196823
度過,weibo,8,0.23644862,-0.057780173
話題,weibo,8,0.2160472,0.035263605
三,weibo,8,-0.12648283,-0.28857702
係,weibo,8,0.19911559,-0.26940322
時代,weibo,8,-0.036065627,-0.085274346
主持人,weibo,8,0.06433763,-0.19943246
始終,weibo,8,-0.23281486,0.24976158
大學,weibo,8,-0.21292065,-0.30256078
患者,weibo,8,-0.21406408,-0.033515498
保障,weibo,8,-0.32530898,0.10624913
風,weibo,8,0.23915409,-0.22817943
疾病,weibo,8,-0.4202513,0.0894888
沒事,weibo,8,0.43579367,-0.07255625
同意,weibo,8,-0.22284824,0.2208567
看過,weibo,8,0.36728033,-0.10145763
那邊,weibo,8,0.35427877,-0.03007009
據,weibo,8,-0.3623584,-0.3090648
展示,weibo,8,-0.22382504,-0.10030871
克,weibo,8,-0.05350772,-0.5622134
東,weibo,8,-0.4096987,-0.43763515
別,weibo,8,0.30680567,-0.051121373
短,weibo,8,0.15799049,-0.1244619
類型,weibo,8,0.05138407,0.0688007
歌,weibo,8,0.41302198,-0.15051223
保持,weibo,8,-0.07226837,0.07203465
政客,weibo,8,-0.09999413,0.22206043
李,weibo,8,0.13246825,-0.18977952
女子,weibo,8,-0.10460799,-0.33248964
年度,weibo,8,-0.45299605,-0.45395002
旁,weibo,8,-0.105197206,-0.10650116
風味,weibo,8,0.07745212,-0.55905753
陪伴,weibo,8,0.28305015,-0.018298531
南北,weibo,8,-0.55925626,-0.2156437
致,weibo,8,0.0023928003,-0.38332734
拿,weibo,8,0.32014507,-0.05403431
回顧,weibo,8,-0.09232596,-0.42264012
遊戲,weibo,8,0.13661367,-0.06599312
能否,weibo,8,-0.22471128,0.17340122
拍攝,weibo,8,-0.15680915,-0.49922067
化,weibo,8,-0.38657376,-0.070878625
買,weibo,8,0.33255246,-0.27286422
工程,weibo,8,-0.59636015,-0.016307143
一波,weibo,8,0.43407744,-0.17282581
靠近,weibo,8,-0.20964457,0.01142943
區,weibo,8,-0.3573226,-0.36970243
北京,weibo,8,-0.13171586,-0.45311168
食品,weibo,8,-0.18178871,-0.41000023
直轄市,weibo,8,-0.3267136,-0.20462537
協助,weibo,8,-0.33923957,-0.0052005774
透明,weibo,8,-0.057038084,0.12609865
廣大,weibo,8,0.04332889,0.1122358
卻是,weibo,8,0.08742951,0.11594209
超級,weibo,8,0.47432604,-0.3645724
三星,weibo,8,-0.49049228,-0.13087346
別的,weibo,8,0.30365482,0.068439595
可怕,weibo,8,0.29252902,0.14777857
外國,weibo,8,-0.31914833,0.06876301
字,weibo,8,0.1103245,-0.25338745
二,weibo,8,-0.0130546875,-0.23667724
一張,weibo,8,0.12661952,-0.17852812
確認,weibo,8,-0.44705635,-0.036458414
特,weibo,8,0.43587184,-0.27805328
得到,weibo,8,0.18817969,0.100753
爆料,weibo,8,-0.28674233,-0.34209406
考試,weibo,8,-0.18542355,-0.043440826
嚴峻,weibo,8,-0.2743409,0.25844547
民間,weibo,8,-0.2829726,0.15802361
參加,weibo,8,-0.16791244,-0.35284665
才能,weibo,8,0.030227657,0.16478625
體重,weibo,8,-0.22085524,-0.27707142
左右,weibo,8,0.020973627,-0.43265843
關心,weibo,8,0.35612926,0.14928365
加入,weibo,8,0.03964108,-0.24727277
忍不住,weibo,8,0.43788105,-0.14034422
國家,weibo,8,-0.22157705,0.00057502295
負責,weibo,8,-0.2035853,-0.009917263
覺得,weibo,8,0.44827077,-0.039146263
輸,weibo,8,0.11603677,0.027297627
衝,weibo,8,0.25361064,-0.13690133
總結,weibo,8,0.18525283,0.18346706
無數,weibo,8,0.21813019,-0.11456672
第一名,weibo,8,0.054140523,-0.19083863
外出,weibo,8,-0.046761956,-0.003392933
立刻,weibo,8,0.11377745,-0.03543991
真實,weibo,8,0.18431264,0.08046984
講,weibo,8,0.3853686,-0.091361165
說法,weibo,8,-0.10371201,-0.077298455
重點,weibo,8,-0.15359545,-0.101435244
祖國,weibo,8,0.02272924,-0.06328128
著名,weibo,8,-0.18705562,-0.40288773
不了,weibo,8,0.23833923,0.1424098
百姓,weibo,8,0.1511493,0.2711466
