collo_1,collo_2,MI,Xsq,Gsq,count,src,timestep
在,臺灣,3.1347067719973674,2241.7550166618103,854.4080582187912,321,ptt,7
對,臺灣,3.586551473702385,1097.7966981929924,346.44858615449357,108,ptt,7
讓,臺灣,3.3949576737770237,771.7749317435583,262.9613814857071,89,ptt,7
美屬,臺灣,7.515828149967178,2910.5367529956693,157.9900594826825,16,ptt,7
淘寶,臺灣,6.072776274518738,1116.0230722405977,115.80405910708504,17,ptt,7
武統,臺灣,6.742336679775859,1372.6616257295586,104.04557358992258,13,ptt,7
保衛,臺灣,6.897257256603202,1295.6250717762591,91.44079034410898,11,ptt,7
是,臺灣,1.3494156580849501,126.1186115474541,88.51434630738126,132,ptt,7
跟,臺灣,2.1670243490884213,142.14045364226652,76.40912735485948,52,ptt,7
「,臺灣,1.5881314107245594,104.17753724523648,67.80813823398206,77,ptt,7
，,臺灣,0.605452255871461,74.3946201585562,64.69143095759654,392,ptt,7
反觀,臺灣,5.650129241678769,484.75234277853554,61.315150303210075,10,ptt,7
來,臺灣,2.6534698695159533,129.82564423795614,58.654924103897045,29,ptt,7
為,臺灣,1.8384720449391276,91.64598569959686,54.9950589964582,49,ptt,7
訪問,臺灣,4.787632765428704,283.6173626520494,53.26907306242491,11,ptt,7
與,臺灣,2.0374647153195053,92.23388835127737,51.788957656393556,39,ptt,7
說,臺灣,1.73917505035987,80.90032234640756,50.13566982612325,49,ptt,7
中華民國,臺灣,3.6476180225227197,149.33388163207,45.801500779658696,14,ptt,7
覺得,臺灣,2.383377853943529,89.16516694231656,44.40030829356721,26,ptt,7
從,臺灣,2.5867640567781236,92.34566634086845,42.73896725704647,22,ptt,7
現在,臺灣,2.0554253464794128,72.3770298180778,40.3792336629868,30,ptt,7
代表,臺灣,3.2216450455627204,104.64056282923866,38.07547939974279,14,ptt,7
來自,臺灣,4.0189965595246875,143.4526231966841,37.68177524894209,10,ptt,7
我們,臺灣,2.0778538394111754,64.31952739269548,35.60679661850283,26,ptt,7
題,臺灣,3.7885127258346913,119.50546382040103,34.57815472383024,10,ptt,7
了,臺灣,1.0712422585517019,43.23489246669158,32.855720557647516,74,ptt,7
。,臺灣,0.834501619639454,39.58643482778591,32.17578359984037,113,ptt,7
把,臺灣,2.0550723503824995,53.03398989813094,29.581781551719402,22,ptt,7
只有,臺灣,2.493460336938724,61.275307403469554,29.3252837780579,16,ptt,7
希望,臺灣,2.4860808065731264,60.827929883292796,29.188458419841844,16,ptt,7
就是,臺灣,1.5639841881218306,43.040628858581066,28.180418094924924,33,ptt,7
但,臺灣,1.4546731829571062,37.87800076295542,25.655612691207352,34,ptt,7
而,臺灣,1.9442861650083438,42.41805963231934,24.553530212881576,20,ptt,7
相信,臺灣,2.968762257004551,59.87043287898819,24.020441218701077,10,ptt,7
有沒有,臺灣,2.4584149074682404,48.07199065940917,23.294534611297028,13,ptt,7
],臺灣,2.2715209522022897,42.72924656961981,22.119619999796498,14,ptt,7
打,臺灣,2.0877006512478906,40.00079663139414,22.061415828164414,16,ptt,7
其實,臺灣,2.189327325289992,39.13753797760032,20.845958861728235,14,ptt,7
只要,臺灣,2.449260533028189,36.63650571014957,17.809214533162372,10,ptt,7
和,臺灣,1.4856135369201706,24.463497610471183,16.404752637883686,21,ptt,7
如果,臺灣,1.6244569721406177,25.491339200148115,16.366625116342213,18,ptt,7
目前,臺灣,1.9226684962794025,26.86461653178936,15.658108284133409,13,ptt,7
看到,臺灣,1.8803813156309885,25.536084704136304,15.09309582996794,13,ptt,7
支持,臺灣,2.0005265272149058,24.90018931214312,14.140232430006765,11,ptt,7
到,臺灣,1.090374034742996,13.873894463742877,10.468357451529165,23,ptt,7
?,臺灣,0.9510435311836524,10.893641321777963,8.55167885770944,24,ptt,7
因為,臺灣,1.176901978727919,10.614271756297258,7.808266122922454,15,ptt,7
什麼,臺灣,1.0275416686576961,8.520739423013708,6.5443837665802675,16,ptt,7
所以,臺灣,1.143018886077632,8.648652263867756,6.425026460942474,13,ptt,7
知道,臺灣,1.0698170470922026,6.948543809188858,5.272131027680729,12,ptt,7
還是,臺灣,0.9308656492460221,5.203622161085475,4.106595313274607,12,ptt,7
：,臺灣,0.6348161861842652,3.9651039990583663,3.391627768055736,20,ptt,7
:,臺灣,0.28316739317690326,2.5528195051763505,2.388699197553411,65,ptt,7
（,臺灣,0.5231939795902256,2.0085478935472834,1.768512692802613,15,ptt,7
被,臺灣,0.4589607183265938,1.9542601470298813,1.7493251468778137,19,ptt,7
