collocate,src,cluster
從,ptt,0
經濟,ptt,0
歷史,ptt,0
大學,ptt,0
防衛,ptt,0
加入,wei,0
作家,wei,0
名,wei,0
學生,wei,0
文學,wei,0
歷史,wei,0
路,wei,0
青年,wei,0
守護,wei,0
參與,wei,0
題,wei,0
早期,wei,0
日報,wei,0
史,wei,0
就讀於,wei,0
一位,wei,0
大學,wei,0
生於,wei,0
福建,wei,0
年,wei,0
來到,wei,0
價值,ptt,1
來自,ptt,1
本土,ptt,1
文學,ptt,1
二十年,ptt,1
軍方,ptt,1
區域,ptt,1
讀過,ptt,1
損害,ptt,1
進口,ptt,1
產業,ptt,1
退出,ptt,1
早期,ptt,1
最大,ptt,1
出售,ptt,1
社會,ptt,1
旅遊,ptt,1
而,ptt,1
地區,ptt,1
製造,ptt,1
一位,ptt,1
納稅人,ptt,1
市場,ptt,1
福建,ptt,1
稱呼,ptt,1
和,ptt,1
來到,ptt,1
推動,ptt,1
認為,wei,1
重返,wei,1
代孕,wei,1
整個,wei,1
模式,wei,1
震動,wei,1
本島,wei,1
最大,wei,1
人口,wei,1
社會,wei,1
保護,wei,1
而,wei,1
凸顯,wei,1
市場,wei,1
更好,wei,1
一國兩制,wei,1
勞工,wei,1
名,ptt,2
自由,ptt,2
東森,ptt,2
網友,ptt,2
中央社,ptt,2
今日,ptt,2
機場,ptt,2
漁船,wei,2
邱毅,wei,2
本土,wei,2
譴責,wei,2
花蓮縣,wei,2
上空,wei,2
空域,wei,2
防務,wei,2
臺中市,wei,2
起飛,wei,2
赴,wei,2
海峽,wei,2
進口,wei,2
媒體,wei,2
分在,wei,2
迴應,wei,2
駐,wei,2
名嘴,wei,2
網友,wei,2
中央社,wei,2
飛往,wei,2
出售,wei,2
高雄,wei,2
今日,wei,2
西南,wei,2
陸委會,wei,2
億美元,wei,2
訪問,wei,2
同胞,wei,2
據,wei,2
基金會,wei,2
宜蘭縣,wei,2
機場,wei,2
現身,wei,2
入境,wei,2
基進,wei,2
東部,wei,2
防疫,wei,2
飛越,wei,2
媒體報道,wei,2
新竹,ptt,3
高雄,ptt,3
明日,ptt,3
新竹,wei,3
來自,wei,3
美食,wei,3
寶島,wei,3
純肉,wei,3
博德,wei,3
戲說,wei,3
熱狗,wei,3
南投,wei,3
烤腸,wei,3
定檔,wei,3
花蓮,wei,3
陳喬恩,wei,3
緹,wei,3
娛樂,wei,3
東森,wei,3
脆皮,wei,3
片裝,wei,3
邱震海,wei,3
旅遊,wei,3
場,wei,3
金曲獎,wei,3
上映,wei,3
風味,wei,3
火山石,wei,3
早報網,wei,3
重映,wei,3
花木蘭,wei,3
節目,wei,3
原創,wei,3
藝人,wei,3
出版社,wei,3
嘉賓,wei,3
邱毅,ptt,4
美食,ptt,4
菜,ptt,4
女生,ptt,4
扯,ptt,4
動手,ptt,4
遇到,ptt,4
南部,ptt,4
打,ptt,4
覺得,ptt,4
脆皮,ptt,4
像,ptt,4
欣賞,ptt,4
男生,ptt,4
話,ptt,4
樂隊,wei,4
菜,wei,4
腔,wei,4
飯糰,wei,4
女生,wei,4
旅行,wei,4
二十年,wei,4
有沒有,wei,4
因為,wei,4
遇到,wei,4
偶像,wei,4
偶像劇,wei,4
羔羊,wei,4
覺得,wei,4
像,wei,4
欣賞,wei,4
初中,wei,4
小學生,wei,4
男生,wei,4
挺,wei,4
小喫,wei,4
綜藝,wei,4
話,wei,4
加入,ptt,5
第一,ptt,5
讓,ptt,5
在,ptt,5
人,ptt,5
的,ptt,5
用,ptt,5
希望,ptt,5
有沒有,ptt,5
到,ptt,5
跟,ptt,5
對,ptt,5
只有,ptt,5
現在,ptt,5
把,ptt,5
題,ptt,5
有,ptt,5
知道,ptt,5
最,ptt,5
了,ptt,5
支持,ptt,5
去,ptt,5
節目,ptt,5
回,ptt,5
說,ptt,5
政治,ptt,5
是,ptt,5
來,ptt,5
讓,wei,5
在,wei,5
人,wei,5
的,wei,5
已經,wei,5
用,wei,5
從,wei,5
到,wei,5
跟,wei,5
對,wei,5
自由,wei,5
只有,wei,5
打,wei,5
萬一,wei,5
收復,wei,5
現在,wei,5
把,wei,5
我們,wei,5
有,wei,5
知道,wei,5
最,wei,5
前,wei,5
了,wei,5
去,wei,5
留在,wei,5
