node,collo,collo_pos,association,count,src,timestep
臺灣,在,left,731.3928850941958,324,ptt,7
臺灣,對,left,313.5749697536179,111,ptt,7
臺灣,讓,left,224.7987901455904,89,ptt,7
臺灣,美屬,left,150.36622672127115,16,ptt,7
臺灣,淘寶,left,107.78988376442021,17,ptt,7
臺灣,武統,left,97.87842402801559,13,ptt,7
臺灣,保衛,left,86.21679419732882,11,ptt,7
臺灣,中華民國,left,70.32565846259115,20,ptt,7
臺灣,是,left,63.33916880845163,139,ptt,7
臺灣,跟,left,60.324247054075286,53,ptt,7
臺灣,反觀,left,57.18318334192148,10,ptt,7
臺灣,說,left,56.26120012813895,59,ptt,7
臺灣,來,left,50.582974270636,30,ptt,7
臺灣,訪問,left,48.21038368740635,11,ptt,7
臺灣,為,left,47.62794916593366,53,ptt,7
臺灣,身分,left,45.1480003962097,11,ptt,7
臺灣,與,left,38.2043260658276,39,ptt,7
臺灣,覺得,left,37.57627491138886,27,ptt,7
臺灣,了,left,34.48646144227443,88,ptt,7
臺灣,從,left,34.16672565346349,22,ptt,7
臺灣,人,right,1156.913965054501,339,ptt,7
臺灣,價值,right,955.1425265598707,132,ptt,7
臺灣,海峽,right,477.24992988027327,58,ptt,7
臺灣,的,right,245.78341189880166,443,ptt,7
臺灣,黑熊,right,186.79285909923112,23,ptt,7
臺灣,人民,right,143.67724068736024,36,ptt,7
臺灣,防疫,right,128.37682333318634,45,ptt,7
臺灣,購買,right,107.65311310769744,21,ptt,7
臺灣,獨立,right,84.31589996010513,18,ptt,7
臺灣,經濟,right,75.53690960341876,24,ptt,7
臺灣,社會,right,75.02807150006495,26,ptt,7
臺灣,安全,right,58.94347772591411,21,ptt,7
臺灣,民主,right,50.73318286013401,19,ptt,7
臺灣,本土,right,46.89004664779538,12,ptt,7
臺灣,大學,right,40.7093534942763,14,ptt,7
臺灣,最,right,40.453578675208036,23,ptt,7
臺灣,地區,right,35.21714679562888,12,ptt,7
臺灣,區域,right,34.97396104811345,11,ptt,7
臺灣,有,right,28.745102718286347,78,ptt,7
臺灣,第一,right,26.573161104383182,10,ptt,7
中國,對,left,180.53211176670436,56,ptt,7
中國,跟,left,140.7349804552902,53,ptt,7
中國,是,left,114.60630543133186,97,ptt,7
中國,與,left,83.2090042136634,36,ptt,7
中國,在,left,79.08514069905054,68,ptt,7
中國,一個,left,57.16901082488759,27,ptt,7
中國,讓,left,54.29850237407238,27,ptt,7
中國,向,left,38.026380402469016,12,ptt,7
中國,去,left,30.143753081069647,19,ptt,7
中國,到,left,22.847869511520233,20,ptt,7
中國,和,left,21.662451876064633,16,ptt,7
中國,打,left,17.015789285786905,10,ptt,7
中國,被,left,16.011060007990956,20,ptt,7
中國,不是,left,13.38905375565011,13,ptt,7
中國,因為,left,10.803623570581797,11,ptt,7
中國,就是,left,10.568634665880026,15,ptt,7
中國,為,left,10.32665645007227,17,ptt,7
中國,說,left,8.988954423332341,17,ptt,7
中國,了,left,0.0962177945012952,19,ptt,7
中國,的,left,-4.372177045941704,60,ptt,7
中國,人,right,562.0665961868257,155,ptt,7
中國,大陸,right,446.97541002694,64,ptt,7
中國,的,right,65.95486662361256,158,ptt,7
中國,製造,right,64.41911463918626,12,ptt,7
中國,武漢,right,36.282362125723466,10,ptt,7
中國,經濟,right,31.796206162552334,10,ptt,7
中國,對,right,25.16490214911358,19,ptt,7
中國,國家,right,14.607712349280446,10,ptt,7
中國,真的,right,9.007442756814607,10,ptt,7
中國,就,right,0.5847976620645952,16,ptt,7
中國,會,right,0.417801516355389,10,ptt,7
中國,有,right,0.23145730601075742,18,ptt,7
中國,要,right,0.06272884695523273,10,ptt,7
中國,也,right,-0.00611919780398118,15,ptt,7
中國,不,right,-0.06335006103828267,10,ptt,7
中國,都,right,-0.13782057033069783,12,ptt,7
中國,在,right,-0.8222191000740642,15,ptt,7
中國,是,right,-0.8622564489870133,22,ptt,7
日本,在,left,97.01907587774105,42,ptt,7
日本,去,left,38.509257492667544,13,ptt,7
日本,跟,left,25.12361771438164,12,ptt,7
日本,是,left,20.62609998445208,24,ptt,7
日本,的,left,0.7039111708427068,28,ptt,7
日本,人,right,189.69841753951658,51,ptt,7
日本,韓國,right,74.79246444634637,13,ptt,7
日本,也,right,9.81332106914013,13,ptt,7
日本,的,right,3.597949227002168,34,ptt,7
美國,在,left,134.48782310587274,82,ptt,7
美國,與,left,65.78233508431205,30,ptt,7
美國,對,left,60.729334272571734,28,ptt,7
美國,跟,left,35.81379923073582,24,ptt,7
美國,向,left,35.41553206209983,11,ptt,7
美國,是,left,34.83471302810321,57,ptt,7
美國,新聞,left,31.472581574095265,22,ptt,7
美國,讓,left,30.731412146952806,19,ptt,7
美國,被,left,21.527293066988733,21,ptt,7
美國,和,left,21.48817140243076,15,ptt,7
美國,到,left,11.285478821896476,14,ptt,7
美國,就是,left,3.7657911561738384,10,ptt,7
