word,src,timestep,PC1,PC2
穩定,weibo,8,-0.27868155,0.22203426
款,weibo,8,-0.09070245,-0.37140027
交,weibo,8,0.07469019,0.16465977
坐在,weibo,8,0.37900499,-0.11856481
據說,weibo,8,0.01856372,-0.01786358
),weibo,8,-0.22302856,-0.47296655
南部,weibo,8,-0.5290049,-0.09163041
插,weibo,8,0.13159747,-0.055946887
可惜,weibo,8,0.45848364,-0.029289622
那時,weibo,8,0.378496,0.08387166
送給,weibo,8,0.31057927,0.112276874
創造,weibo,8,-0.15454046,-0.086582676
懶,weibo,8,0.38010067,-0.15754934
蠻,weibo,8,0.49690524,-0.22966273
怕,weibo,8,0.31755924,0.066253066
他,weibo,8,0.16866775,-0.06943142
如今,weibo,8,-0.07631657,0.04950607
委員會,weibo,8,-0.53879684,-0.15409403
豬,weibo,8,0.21834715,-0.047975644
兩,weibo,8,-0.17747973,-0.18456034
現代,weibo,8,-0.22459583,-0.043750905
駐,weibo,8,-0.27390078,-0.05605556
默默,weibo,8,0.37540132,0.017329939
看似,weibo,8,0.20466648,0.118085004
帶走,weibo,8,0.36084637,-0.012806421
銷售,weibo,8,-0.50413764,-0.092064485
明確,weibo,8,-0.36468375,0.2349965
關係,weibo,8,-0.21594827,0.20387083
實驗,weibo,8,-0.33135933,-0.12556839
專業,weibo,8,-0.0998065,-0.2239292
追求,weibo,8,0.09980391,0.021236215
中有,weibo,8,-0.11615771,-0.003204086
$,weibo,8,-0.06397984,-0.51879066
認知,weibo,8,-0.047085706,0.20284736
流傳,weibo,8,-0.46357852,0.19638367
協議,weibo,8,-0.4569505,0.19439563
南方,weibo,8,0.033492547,0.04348098
創業,weibo,8,-0.14929953,-0.24300414
均,weibo,8,-0.405706,-0.17861855
老爸,weibo,8,0.28772715,-0.15215191
擴大,weibo,8,-0.5422747,0.18985996
意義,weibo,8,0.074424244,0.20713533
設備,weibo,8,-0.39202207,0.0918219
工人,weibo,8,-0.32226086,0.14519736
起來,weibo,8,0.48694688,-0.14999315
呈現,weibo,8,-0.09994395,0.0039861645
得逞,weibo,8,-0.20124732,-0.13124545
各項,weibo,8,-0.0033947283,0.24498466
