word,src,timestep,PC1,PC2
國民黨,weibo,0,2.8927581,-0.63396245
臺灣,weibo,0,0.117020905,-1.1766186
國民黨,weibo,4,2.7217155,-0.68787825
臺灣,weibo,4,0.09077525,-0.9658503
獨立,weibo,4,0.5348647,1.2002258
國民黨,weibo,12,2.8494337,-0.64815503
兩岸,weibo,8,-0.043533154,0.32192025
國民黨,weibo,8,2.669895,-0.91452634
國民黨,weibo,5,2.8507638,-0.75191927
國民黨,weibo,2,2.8564968,-0.6538452
兩岸,weibo,0,-0.242423,0.034180537
統一,weibo,0,-0.17983414,0.2686904
民進黨,weibo,12,0.108170584,-0.53770274
臺灣,weibo,12,0.066306315,-0.8936122
國民黨,weibo,10,2.6694088,-0.64478785
國民黨,weibo,1,2.7852173,-0.57177156
國民黨,weibo,3,2.8587387,-0.7176167
統一,weibo,3,-0.20177564,0.34684432
國民黨,weibo,6,2.6180124,-0.71895725
國民黨,weibo,9,2.9518156,-0.60100764
臺灣,weibo,10,0.24179062,-0.87951326
兩岸,weibo,10,-0.116344534,0.6529476
統一,weibo,10,0.0058941566,0.3733052
和平,weibo,10,0.4688232,1.8564565
民進黨,weibo,4,-0.0987696,-0.41304532
國民黨,weibo,7,2.8373635,-0.6291352
國民黨,weibo,11,2.7652783,-0.91816866
兩岸,weibo,5,-0.09465201,0.5473747
獨立,weibo,12,0.26291376,1.2935901
和平,weibo,0,0.855824,1.7458314
和平,weibo,12,0.66962785,1.6991359
統一,weibo,12,-0.07576995,0.2847303
臺灣,weibo,6,0.09380265,-0.9791942
統一,weibo,6,0.17650056,0.7526849
和平,weibo,7,0.7237412,1.4896755
兩岸,weibo,7,0.050097674,0.27306834
統一,weibo,7,-0.16513495,0.5576418
臺獨,weibo,7,0.2867134,0.08995938
和平,weibo,2,0.6733436,1.5103599
臺灣,weibo,11,0.22390115,-1.0023522
獨立,weibo,6,-0.08637196,0.5488444
民進黨,weibo,0,-0.0012015474,-0.41149485
民進黨,weibo,6,0.1243007,-0.6590223
民進黨,weibo,1,0.1321325,-0.23132053
臺灣,weibo,1,0.334547,-0.900499
